x,y,z,station_id,date,day_air_tmp_min,day_air_tmp_min_qc,day_air_tmp_max,day_air_tmp_max_qc,day_wind_spd_avg,day_wind_spd_avg_qc,day_rel_hum_max,day_rel_hum_max_qc,day_dew_pnt,day_dew_pnt_qc
-172337.76,55700.92,41.45,139,2014-10-01,11.80,K,28.70,K,2.10,K,49.00,K,0.20,K
-172337.76,55700.92,41.45,139,2014-10-02,7.50,K,30.20,K,1.10,K,77.00,K,4.20,K
-172337.76,55700.92,41.45,139,2014-10-03,12.30,K,32.50,K,1.00,K,60.00,K,5.60,K
-172337.76,55700.92,41.45,139,2014-10-04,10.90,K,33.80,K,0.90,K,74.00,K,7.80,K
-172337.76,55700.92,41.45,139,2014-10-05,10.50,K,34.10,K,0.80,K,79.00,K,9.10,K
-172337.76,55700.92,41.45,139,2014-10-06,10.40,K,33.30,K,0.70,K,84.00,K,10.40,K
-172337.76,55700.92,41.45,139,2014-10-07,10.90,K,34.60,K,0.80,K,78.00,K,9.00,K
-172337.76,55700.92,41.45,139,2014-10-08,12.40,K,33.20,K,1.10,K,69.00,K,7.40,K
-172337.76,55700.92,41.45,139,2014-10-09,14.10,K,30.70,K,1.20,K,64.00,K,7.30,K
-172337.76,55700.92,41.45,139,2014-10-10,0.00,Y,29.60,K,1.00,K,87.00,K,9.60,Y
-172337.76,55700.92,41.45,139,2014-10-11,9.90,K,31.40,K,0.80,K,88.00,K,9.60,K
-172337.76,55700.92,41.45,139,2014-10-12,12.50,K,32.10,K,1.90,K,58.00,K,-3.30,K
-172337.76,55700.92,41.45,139,2014-10-13,8.30,K,31.60,K,1.00,K,57.00,K,2.50,K
-172337.76,55700.92,41.45,139,2014-10-14,9.50,K,21.10,K,2.60,K,80.00,K,9.60,K
-172337.76,55700.92,41.45,139,2014-10-15,12.00,K,22.30,K,1.40,K,88.00,K,11.60,K
-172337.76,55700.92,41.45,139,2014-10-16,8.90,K,23.60,K,1.00,K,91.00,K,7.90,K
-172337.76,55700.92,41.45,139,2014-10-17,8.80,K,23.90,K,1.10,K,86.00,K,8.40,K
-172337.76,55700.92,41.45,139,2014-10-18,9.90,K,27.30,K,0.80,K,92.00,K,10.70,K
-172337.76,55700.92,41.45,139,2014-10-19,9.60,K,27.20,K,1.00,K,91.00,K,10.80,K
-172337.76,55700.92,41.45,139,2014-10-20,9.60,K,22.20,K,1.90,K,89.00,K,9.80,K
-172337.76,55700.92,41.45,139,2014-10-21,7.70,K,22.10,K,1.30,H,83.00,H,5.60,K
-172337.76,55700.92,41.45,139,2014-10-22,8.20,K,24.30,K,1.00,H,84.00,H,7.80,K
-172337.76,55700.92,41.45,139,2014-10-23,11.10,K,23.70,K,1.10,K,86.00,K,10.70,K
-172337.76,55700.92,41.45,139,2014-10-24,8.10,K,25.60,K,1.30,K,90.00,K,9.40,K
-172337.76,55700.92,41.45,139,2014-10-25,11.30,K,21.10,K,2.00,K,90.00,K,11.30,K
-172337.76,55700.92,41.45,139,2014-10-26,9.20,K,21.00,K,1.70,K,86.00,K,5.40,K
-172337.76,55700.92,41.45,139,2014-10-27,7.10,K,23.10,K,1.20,K,82.00,K,4.00,K
-172337.76,55700.92,41.45,139,2014-10-28,6.70,K,25.10,K,0.90,K,82.00,K,5.70,K
-172337.76,55700.92,41.45,139,2014-10-29,7.90,K,27.40,K,0.80,K,85.00,K,8.30,K
-172337.76,55700.92,41.45,139,2014-10-30,9.30,K,23.90,K,0.80,K,88.00,K,8.90,K
-172337.76,55700.92,41.45,139,2014-10-31,11.60,K,17.10,K,0.90,K,93.00,K,11.70,K
-172337.76,55700.92,41.45,139,2014-11-01,7.60,K,19.00,K,1.10,K,93.00,K,7.10,K
-172337.76,55700.92,41.45,139,2014-11-02,5.80,K,19.80,K,1.30,K,90.00,K,3.90,K
-172337.76,55700.92,41.45,139,2014-11-03,4.30,K,20.90,K,0.80,K,89.00,K,4.30,K
-172337.76,55700.92,41.45,139,2014-11-04,3.00,K,21.80,K,0.90,K,92.00,K,4.70,K
-172337.76,55700.92,41.45,139,2014-11-05,5.30,K,23.50,K,0.80,K,91.00,K,7.40,K
-172337.76,55700.92,41.45,139,2014-11-06,7.00,K,24.80,K,0.70,K,91.00,K,8.40,K
-172337.76,55700.92,41.45,139,2014-11-07,7.80,K,24.70,K,1.00,K,91.00,K,8.40,K
-172337.76,55700.92,41.45,139,2014-11-08,6.10,K,25.30,K,1.00,K,92.00,K,8.00,K
-172337.76,55700.92,41.45,139,2014-11-09,6.60,K,25.30,K,0.80,K,90.00,K,8.20,K
-172337.76,55700.92,41.45,139,2014-11-10,7.20,K,24.80,K,1.20,K,90.00,K,6.60,K
-172337.76,55700.92,41.45,139,2014-11-11,6.00,K,19.50,K,1.60,K,86.00,K,7.70,K
-172337.76,55700.92,41.45,139,2014-11-12,5.10,K,18.30,K,0.70,K,92.00,K,7.10,K
-172337.76,55700.92,41.45,139,2014-11-13,11.10,K,17.70,K,0.80,K,93.00,K,11.60,K
-172337.76,55700.92,41.45,139,2014-11-14,5.60,K,18.90,K,0.80,K,94.00,K,9.30,K
-172337.76,55700.92,41.45,139,2014-11-15,5.80,K,18.70,K,0.90,K,94.00,K,8.60,K
-172337.76,55700.92,41.45,139,2014-11-16,1.70,K,17.40,K,1.60,K,81.00,K,-3.40,K
-172337.76,55700.92,41.45,139,2014-11-17,0.00,K,18.90,K,1.20,H,83.00,H,-3.80,K
-172337.76,55700.92,41.45,139,2014-11-18,-0.10,K,17.10,K,1.00,K,83.00,K,-0.30,K
-172337.76,55700.92,41.45,139,2014-11-19,7.30,K,10.40,K,0.90,K,93.00,K,6.70,K
-172337.76,55700.92,41.45,139,2014-11-20,9.40,K,11.90,K,0.70,K,93.00,K,9.30,K
-172337.76,55700.92,41.45,139,2014-11-21,6.00,K,14.40,K,0.90,K,94.00,K,9.10,K
-172337.76,55700.92,41.45,139,2014-11-22,7.50,K,21.30,K,1.50,K,93.00,K,10.20,K
-172337.76,55700.92,41.45,139,2014-11-23,4.50,K,18.50,K,1.20,K,92.00,K,3.30,K
-172337.76,55700.92,41.45,139,2014-11-24,2.40,K,20.40,K,0.80,K,90.00,K,1.80,K
-172337.76,55700.92,41.45,139,2014-11-25,1.40,K,19.30,K,0.90,K,93.00,K,3.50,K
-172337.76,55700.92,41.45,139,2014-11-26,4.30,K,19.80,K,0.90,K,90.00,K,5.40,K
-172337.76,55700.92,41.45,139,2014-11-27,4.40,K,20.60,K,0.90,K,92.00,K,5.90,K
-172337.76,55700.92,41.45,139,2014-11-28,-0.90,K,20.30,K,0.80,K,94.00,K,6.30,K
-172337.76,55700.92,41.45,139,2014-11-29,10.60,K,13.90,K,0.90,K,93.00,K,10.80,K
-172337.76,55700.92,41.45,139,2014-11-30,9.90,K,12.50,K,0.90,K,94.00,K,10.00,K
-172337.76,55700.92,41.45,139,2014-12-01,10.40,K,16.70,K,1.20,K,93.00,K,10.20,K
-172337.76,55700.92,41.45,139,2014-12-02,10.90,K,13.30,K,1.00,K,94.00,K,10.80,K
-172337.76,55700.92,41.45,139,2014-12-03,12.50,Y,16.70,K,1.80,K,94.00,K,12.50,K
-172337.76,55700.92,41.45,139,2014-12-04,11.10,K,19.30,K,1.10,K,94.00,K,11.90,K
-172337.76,55700.92,41.45,139,2014-12-05,10.30,K,17.20,K,1.10,K,94.00,K,12.20,K
-172337.76,55700.92,41.45,139,2014-12-06,10.30,K,20.30,K,1.10,K,94.00,K,11.90,K
-172337.76,55700.92,41.45,139,2014-12-07,8.70,K,16.30,K,0.80,K,94.00,K,10.40,K
-172337.76,55700.92,41.45,139,2014-12-08,9.90,K,14.40,K,0.80,K,94.00,K,11.10,K
-172337.76,55700.92,41.45,139,2014-12-09,11.60,K,15.50,K,0.70,K,94.00,K,12.00,K
-172337.76,55700.92,41.45,139,2014-12-10,10.60,K,13.50,K,1.50,K,94.00,K,10.40,K
-172337.76,55700.92,41.45,139,2014-12-11,8.70,K,14.10,K,1.80,K,94.00,K,9.90,K
-172337.76,55700.92,41.45,139,2014-12-12,4.90,K,10.80,K,0.80,K,94.00,K,7.50,K
-172337.76,55700.92,41.45,139,2014-12-13,2.60,K,13.60,K,0.80,K,95.00,K,6.00,K
-172337.76,55700.92,41.45,139,2014-12-14,4.90,K,9.70,K,0.80,K,94.00,K,6.00,K
-172337.76,55700.92,41.45,139,2014-12-15,7.80,K,9.30,K,0.80,K,94.00,K,7.30,K
-172337.76,55700.92,41.45,139,2014-12-16,7.80,K,14.00,K,1.20,K,94.00,K,8.20,K
-172337.76,55700.92,41.45,139,2014-12-17,7.40,K,14.40,K,1.40,K,93.00,K,7.60,K
-172337.76,55700.92,41.45,139,2014-12-18,8.70,K,12.10,K,0.70,K,94.00,K,8.40,K
-172337.76,55700.92,41.45,139,2014-12-19,9.20,K,10.70,K,1.30,K,94.00,K,9.10,K
-172337.76,55700.92,41.45,139,2014-12-20,10.40,K,13.40,K,1.40,K,94.00,K,10.60,K
-172337.76,55700.92,41.45,139,2014-12-21,11.20,Y,20.40,K,1.00,K,94.00,K,12.30,Y
-172337.76,55700.92,41.45,139,2014-12-22,8.70,K,20.10,K,0.90,K,94.00,K,11.00,K
-172337.76,55700.92,41.45,139,2014-12-23,6.20,K,18.60,K,0.90,K,94.00,K,8.50,K
-172337.76,55700.92,41.45,139,2014-12-24,6.40,K,17.00,K,1.60,K,95.00,K,5.80,K
-172337.76,55700.92,41.45,139,2014-12-25,2.40,K,13.80,K,2.20,K,69.00,K,-2.50,K
-172337.76,55700.92,41.45,139,2014-12-26,7.30,K,13.50,K,2.80,K,45.00,K,-3.80,K
-172337.76,55700.92,41.45,139,2014-12-27,-1.30,K,12.30,K,1.00,K,89.00,K,-0.40,K
-172337.76,55700.92,41.45,139,2014-12-28,0.00,K,13.40,K,0.80,K,93.00,K,1.20,K
-172337.76,55700.92,41.45,139,2014-12-29,-1.70,K,10.70,K,0.90,K,94.00,K,2.20,K
-172337.76,55700.92,41.45,139,2014-12-30,2.70,K,11.10,K,3.70,Y,87.00,K,-6.30,K
-172337.76,55700.92,41.45,139,2014-12-31,4.20,K,13.60,K,3.10,K,30.00,K,-14.50,Y
-172337.76,55700.92,41.45,139,2015-01-01,-3.80,K,10.70,K,0.90,K,88.00,K,-4.40,K
-172337.76,55700.92,41.45,139,2015-01-02,-3.40,K,11.80,K,0.90,K,90.00,K,-2.20,K
-172337.76,55700.92,41.45,139,2015-01-03,-3.50,K,12.60,K,0.80,K,93.00,K,-1.40,K
-172337.76,55700.92,41.45,139,2015-01-04,-1.00,K,13.40,K,0.90,K,89.00,K,0.40,K
-172337.76,55700.92,41.45,139,2015-01-05,0.00,K,14.40,K,0.90,K,93.00,K,2.50,K
-172337.76,55700.92,41.45,139,2015-01-06,0.10,K,18.70,K,1.00,K,93.00,K,3.00,K
-172337.76,55700.92,41.45,139,2015-01-07,1.40,K,20.50,K,1.00,K,89.00,K,3.90,K
-172337.76,55700.92,41.45,139,2015-01-08,2.20,K,16.70,K,0.90,K,93.00,K,5.00,K
-172337.76,55700.92,41.45,139,2015-01-09,6.90,K,16.00,K,0.80,K,90.00,K,6.20,K
-172337.76,55700.92,41.45,139,2015-01-10,5.30,K,17.30,K,0.80,K,93.00,K,6.90,K
